Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction,Insufficient Modularization,Inconsistent Naming Convention,Large Play,Unnamed Play,Large Task,Long Task Name
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\davestephens\ansible-nas\roles\heimdall\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,Start Heimdall,,,,,,,,,,,,0,0,,
,,Create Heimdall group,,,,,,,,,,,,,0,0
,,Create Heimdall user,,,,,,,,,,,,,0,0
,,Create Heimdall Directories,,,,,,,,,,,,,0,0
,,Create Heimdall container,,,,,,,,,,,,,1,0
,Stop Heimdall,,,,,,,,,,,,0,0,,
,,Stop Heimdall,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-lint\examples\playbooks\rule-partial-become-without-become-pass.yml,,,0,0,0,0,0,0,1,0,0,0,,,,
,unknown,,,,,,,,,,,,0,0,,
,,Unknown,,,,,,,,,,,,,0,0
,unknown,,,,,,,,,,,,0,0,,
,,Foo,,,,,,,,,,,,,0,0
,unknown,,,,,,,,,,,,0,0,,
,,Accepts a become from higher scope,,,,,,,,,,,,,0,0
,unknown,,,,,,,,,,,,0,0,,
,,Accepts a become from a lower scope,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\devopsschool-demo-labs-projects\tesco-git-ansible-nov-2019\murthy\drpidx.yaml,,,0,0,0,0,0,0,0,0,0,0,,,,
,delete index.html,,,,,,,,,,,,0,0,,
,,delete index,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\HCL-TECH-SOFTWARE\connections-automation\roles\hcl\docs\register-docs-in-news\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Verify if Profile already exists,,,,,,,,,,,,,0,0
,,Verify if pid file,,,,,,,,,,,,,0,0
,,Generate Response file,,,,,,,,,,,,,0,0
,,Register Docs in CNX News,,,,,,,,,,,,,0,0
