Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name,Filename,Full_Path_and_Filename,GroupID
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_letsencrypt\tasks\Amazon.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#,Amazon,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_letsencrypt\tasks\Amazon.yml_Amazon,Amazon
,,remove python-requests,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Amazon,nan_Amazon,Amazon
,,install needed pip packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Amazon,nan_Amazon,Amazon
,,letsencrypt renewal cronjob,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Amazon,nan_Amazon,Amazon
,,re-install cloud-init,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Amazon,nan_Amazon,Amazon
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\plone\ansible.plone_server\tasks\Debian.yml,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#,Debian,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\plone\ansible.plone_server\tasks\Debian.yml_Debian,Debian
,,Update packages via apt,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Ensure required python2 packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Ensure required python3 packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Ensure required packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Set virtualenv path,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Ensure supervisor is started,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Set supervisor service name,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
,,Set supervisor to start on boot in Xenial,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Debian,nan_Debian,Debian
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_talk\tasks\Fedora.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,Fedora,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_talk\tasks\Fedora.yml_Fedora,Fedora
,,install coturn,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Fedora,nan_Fedora,Fedora
,,bring /etc/turnserver/turnserver.conf in place,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Fedora,nan_Fedora,Fedora
,,enable turnserver,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Fedora,nan_Fedora,Fedora
,,open firewall,#,#,#,#,#,#,#,#,#,#,#,#,0,0,Fedora,nan_Fedora,Fedora
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,,,0,1,1,1,0,0,0,0,0,0,#,#,#,#,admin_ohpc,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml_admin_ohpc,admin_ohpc
,Configure Admin Node,,#,#,#,#,#,#,#,#,#,#,0,0,#,#,admin_ohpc,nan_admin_ohpc,admin_ohpc
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CenterForOpenScience\cos-ansible-base\roles\docker-osf\tasks\adminserver.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,adminserver,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CenterForOpenScience\cos-ansible-base\roles\docker-osf\tasks\adminserver.yml_adminserver,adminserver
,,Ensure docker osf adminserver directories exist,#,#,#,#,#,#,#,#,#,#,#,#,0,0,adminserver,nan_adminserver,adminserver
,,Ensure docker osf adminserver data directories exist,#,#,#,#,#,#,#,#,#,#,#,#,0,0,adminserver,nan_adminserver,adminserver
,,Copy docker osf adminserver configuration settings,#,#,#,#,#,#,#,#,#,#,#,#,0,0,adminserver,nan_adminserver,adminserver
,,Restart docker osf adminserver container,#,#,#,#,#,#,#,#,#,#,#,#,0,0,adminserver,nan_adminserver,adminserver
,,Run docker osf adminserver container,#,#,#,#,#,#,#,#,#,#,#,#,1,0,adminserver,nan_adminserver,adminserver
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dresden-weekly\ansible-network-interfaces\tasks\all_interfaces.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#,all_interfaces,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dresden-weekly\ansible-network-interfaces\tasks\all_interfaces.yml_all_interfaces,all_interfaces
,,create directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,all_interfaces,nan_all_interfaces,all_interfaces
,,create directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,all_interfaces,nan_all_interfaces,all_interfaces
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\docker\tasks\applications.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,applications,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\docker\tasks\applications.yml_applications,applications
,,Applications > Templates,#,#,#,#,#,#,#,#,#,#,#,#,0,0,applications,nan_applications,applications
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\debops\ansible-sshd\tasks\authorized_keys_lookup.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,authorized_keys_lookup,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\debops\ansible-sshd\tasks\authorized_keys_lookup.yml_authorized_keys_lookup,authorized_keys_lookup
,,Create OpenSSH lookup system group,#,#,#,#,#,#,#,#,#,#,#,#,0,0,authorized_keys_lookup,nan_authorized_keys_lookup,authorized_keys_lookup
,,Create OpenSSH lookup system user,#,#,#,#,#,#,#,#,#,#,#,#,0,0,authorized_keys_lookup,nan_authorized_keys_lookup,authorized_keys_lookup
,,Create OpenSSH LDAP bind password file,#,#,#,#,#,#,#,#,#,#,#,#,0,0,authorized_keys_lookup,nan_authorized_keys_lookup,authorized_keys_lookup
,,Create /etc/ssh/authorized_keys_lookup.d directory,#,#,#,#,#,#,#,#,#,#,#,#,0,0,authorized_keys_lookup,nan_authorized_keys_lookup,authorized_keys_lookup
,,Generate authorized keys lookup scripts,#,#,#,#,#,#,#,#,#,#,#,#,0,0,authorized_keys_lookup,nan_authorized_keys_lookup,authorized_keys_lookup
,,Generate authorized keys lookup hook,#,#,#,#,#,#,#,#,#,#,#,#,0,0,authorized_keys_lookup,nan_authorized_keys_lookup,authorized_keys_lookup
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dimagi\commcare-cloud\src\commcare_cloud\ansible\roles\pg_backup\tasks\backup_plain_clean.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,backup_plain_clean,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dimagi\commcare-cloud\src\commcare_cloud\ansible\roles\pg_backup\tasks\backup_plain_clean.yml_backup_plain_clean,backup_plain_clean
,,Remove old Hourly Cron job,#,#,#,#,#,#,#,#,#,#,#,#,0,0,backup_plain_clean,nan_backup_plain_clean,backup_plain_clean
,,Remove old Daily Cron job,#,#,#,#,#,#,#,#,#,#,#,#,0,0,backup_plain_clean,nan_backup_plain_clean,backup_plain_clean
