Playbook Name,Play Name,Task Name,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_letsencrypt\tasks\Amazon.yml,,,22.0,0.0,4.0,6.0,0.0,0.0,0.4458031338041524,,,,,,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#
,,remove python-requests,,,,,,,,,,,,4.0,22.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install needed pip packages,,,,,,,,,,,,8.0,27.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,letsencrypt renewal cronjob,,,,,,,,,,,,6.0,27.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,re-install cloud-init,,,,,,,,,,,,4.0,21.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\plone\ansible.plone_server\tasks\Debian.yml,,,23.0,0.0,8.0,3.0,0.0,0.0,0.5526224134352897,,,,,,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#
,,Update packages via apt,,,,,,,,,,,,2.0,23.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure required python2 packages,,,,,,,,,,,,3.0,32.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure required python3 packages,,,,,,,,,,,,3.0,32.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure required packages,,,,,,,,,,,,2.0,24.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set virtualenv path,,,,,,,,,,,,2.0,19.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure supervisor is started,,,,,,,,,,,,3.0,28.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set supervisor service name,,,,,,,,,,,,3.0,27.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
