Playbook Name,Play Name,Task Name,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_letsencrypt\tasks\Amazon.yml,,,22,0,4,6,0,0,0.4458031338041524,,,,,,,
,,remove python-requests,,,,,,,,,,,,4,22,1
,,install needed pip packages,,,,,,,,,,,,8,27,0
,,letsencrypt renewal cronjob,,,,,,,,,,,,6,27,0
,,re-install cloud-init,,,,,,,,,,,,4,21,2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\plone\ansible.plone_server\tasks\Debian.yml,,,23,0,8,3,0,0,0.5526224134352897,,,,,,,
,,Update packages via apt,,,,,,,,,,,,2,23,0
,,Ensure required python2 packages,,,,,,,,,,,,3,32,0
,,Ensure required python3 packages,,,,,,,,,,,,3,32,0
,,Ensure required packages,,,,,,,,,,,,2,24,0
,,Set virtualenv path,,,,,,,,,,,,2,19,0
,,Ensure supervisor is started,,,,,,,,,,,,3,28,0
,,Set supervisor service name,,,,,,,,,,,,3,27,0
,,Set supervisor to start on boot in Xenial,,,,,,,,,,,,3,41,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_talk\tasks\Fedora.yml,,,28,0,4,7,0,0,0.37780935567010016,,,,,,,
,,install coturn,,,,,,,,,,,,4,14,0
,,bring /etc/turnserver/turnserver.conf in place,,,,,,,,,,,,9,46,4
,,enable turnserver,,,,,,,,,,,,5,17,0
,,open firewall,,,,,,,,,,,,9,13,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,,,43,1,0,0,0,24,1,,,,,,,
,Configure Admin Node,,,,,,,,,94,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CenterForOpenScience\cos-ansible-base\roles\docker-osf\tasks\adminserver.yml,,,58,0,5,12,0,0,0.6777827715849927,,,,,,,
,,Ensure docker osf adminserver directories exist,,,,,,,,,,,,10,47,0
,,Ensure docker osf adminserver data directories exist,,,,,,,,,,,,13,52,0
,,Copy docker osf adminserver configuration settings,,,,,,,,,,,,9,50,0
,,Restart docker osf adminserver container,,,,,,,,,,,,6,40,0
,,Run docker osf adminserver container,,,,,,,,,,,,20,36,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dresden-weekly\ansible-network-interfaces\tasks\all_interfaces.yml,,,10,0,2,5,0,0,0.5532298543535462,,,,,,,
,,create directory,,,,,,,,,,,,4,16,0
,,all interfaces,,,,,,,,,,,,6,14,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\docker\tasks\applications.yml,,,13,0,1,10,0,0,1,,,,,,,
