item,type,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task,class
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_letsencrypt\tasks\Amazon.yml,playbook,0,0,0,0,0,0,0.445803134,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,playbook,43,1,0,0,0,24,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,playbook,0,0,0,0,0,24,0,0,0,0,0,0,0,0,high playbook coupling
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,playbook,43,1,0,0,0,0,0,0,0,0,0,0,0,0,Large Playbook
Run docker osf adminserver container,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dresden-weekly\ansible-network-interfaces\tasks\all_interfaces.yml,playbook,0,0,0,0,0,0,0.553229854,0,0,0,0,0,0,0,Incohesive Playbook
Running Searchlight bootstrap container,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
Running Designate bootstrap container,task,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sky-uk\clusterverse\redeploy\_scheme_rmvm_keepdisk_rollback\tasks\by_hosttype_by_host.yml,playbook,46,0,8,7,0,0,0,0,0,0,0,0,0,0,complex playbook
stop/ remove previous instance,task,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Large Task
by_hosttype_by_host | Run {{mainclusteryml}} to add {{host_to_redeploy.hostname}} to cluster,task,0,0,0,0,0,0,0,0,0,0,0,0,92,0,Long Task Name
"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",task,0,0,0,0,0,0,0,0,0,0,0,0,199,0,Long Task Name
"by_hosttype_by_host | Power on new VM (not needed for normal redeploy, but for rescue case)",task,0,0,0,0,0,0,0,0,0,0,0,0,91,0,Long Task Name
