X2015.Middleware.Keynote,https...github.com.2015.Middleware.Keynote.demo.ansible.blob.master.playbooks.certificate_repos.yml
voc,https://github.com/voc/cm/blob/master/ansible/roles/pbx/tasks/main.yml
benregn,https://github.com/benregn/cookiecutter-django-ansible/blob/master/{{cookiecutter.repo_name}}/provisioning/playbooks/roles/redis/tasks/redmon.yml
openstack,https://github.com/openstack/kolla-ansible/blob/master/ansible/roles/mistral/tasks/clone.yml
integr8ly,https://github.com/integr8ly/ansible-tower-configuration/blob/master/playbooks/integreatly_sendgrid_poc_provision.yml
debops,https://github.com/debops/debops/blob/master/ansible/roles/kodi/tasks/main.yml
openstack,https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_ovn/tasks/main.yml
confluentinc,https://github.com/confluentinc/cp-ansible/blob/master/playbooks/ksql.yml
nuxeo,https://github.com/nuxeo/nuxeo-ansible-jenkins/blob/master/roles/slave_tools/tasks/firefox.yml
openstack,https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_clients_install/tasks/main.yml
Juniper,https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/bifrost/tasks/start.yml
redhat-openstack,https://github.com/redhat-openstack/ansible-role-tripleo-collect-logs/blob/master/playbooks/collect-logs.yml
michaeltchapman,https://github.com/michaeltchapman/networking-ansible/blob/master/tools/devenv/centos-devstack-vqfx/roles/localvm/tasks/get_image.yml
IBM,https://github.com/IBM/ibm-spectrum-scale-install-infra/blob/master/roles/nfs/node/tasks/install_dir_pkg.yml
openstack,https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_upgrade_hiera/tasks/set.yml
ansible,https://github.com/ansible/ansible-examples/blob/master/lamp_haproxy/aws/roles/web/tasks/main.yml
henrysher,https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/openshift/import-image/tasks/main.yml
Graylog2,https://github.com/Graylog2/graylog-ansible-role/blob/master/tasks/mongodb-Debian.yml
IBM-Security,https://github.com/IBM-Security/isam-ansible-roles/blob/master/add_cluster_node/tasks/main.yml
ilkilab,https://github.com/ilkilab/agorakube/blob/master/roles/generate-certs/tasks/oidc-keycloak.yaml
redhat-openstack,https://github.com/redhat-openstack/ansible-nfv/blob/master/roles/images/performance/tasks/fetch_image.yml
devopsschool-training-notes,https://github.com/devopsschool-training-notes/Ansible-astrazeneca-June-2020/blob/master/james/rolesprj/project/tasks/main.yaml
openedx,https://github.com/openedx/configuration/blob/master/playbooks/roles/mysql/tasks/remove_mysql_experimental.yml
spantaleev,https://github.com/spantaleev/matrix-docker-ansible-deploy/blob/master/roles/custom/matrix-synapse/tasks/init.yml
