File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/0x0I/ansible-role-systemd/tasks/main.yml,14,0,0,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/certificate_repos.yml,17,3,5,2,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/cleanup.yml,92,5,18,13,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/cloudformation_setup.yml,15,1,13,2,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/group_setup.yml,31,1,32,4,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/host_repos.yml,26,1,25,4,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/openshift_setup.yml,104,6,17,10,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/post_setup.yml,554,11,49,120,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/projects_setup.yml,23,4,5,2,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/register_hosts.yml,22,3,7,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/subscriptions_and_repos.yml,42,2,21,8,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/uninstall.yml,48,0,0,3,15
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/tasks/cloudformation.yml,53,0,0,2,28
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/tasks/group_setup.yml,24,0,0,3,8
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/tasks/registry_wait.yml,16,0,0,2,7
