File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/certificate_repos.yml,17,3,5,2,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/cleanup.yml,92,5,18,13,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/cloudformation_setup.yml,15,1,13,2,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/group_setup.yml,31,1,32,4,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/host_repos.yml,26,1,25,4,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/openshift_setup.yml,104,6,17,10,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/post_setup.yml,554,11,49,120,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/projects_setup.yml,23,4,5,2,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/register_hosts.yml,22,3,7,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/subscriptions_and_repos.yml,42,2,21,8,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/2015-Middleware-Keynote/demo-ansible/playbooks/uninstall.yml,48,0,0,3,15
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/examples/features/terraform-and-ansible/ansible/playbooks/site.yaml,18,3,7,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adobe/ops-cli/tests/e2e/fixture/ansible/playbooks/play_module.yaml,8,1,8,3,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/correct_vnc_install.yml,50,1,46,1,41
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/ubuntu-jck.yml,89,1,79,1,74
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/adoptium/infrastructure/ansible/playbooks/vagrant.yml,283,1,280,1,271
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/AlexeySetevoi/ansible-clickhouse/molecule/resources/playbooks/converge.yml,6,1,6,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/Alfresco/alfresco-ansible-deployment/playbooks/acs.yml,355,18,20,2,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/Alfresco/alfresco-ansible-deployment/playbooks/pki.yml,208,2,102,9,21
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/Alfresco/alfresco-ansible-deployment/playbooks/platform-cleanup.yml,12,1,12,2,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/Alfresco/alfresco-ansible-deployment/playbooks/platform-restart.yml,206,16,13,16,8
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/Alfresco/alfresco-ansible-deployment/playbooks/platform-uninstall.yml,185,7,26,14,9
