Owner,Repo,Files Number,YAML Files Number,File URL
0x0I,,1,1,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\0x0I\ansible-role-systemd\tasks\main.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\certificate_repos.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\cleanup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\cloudformation_setup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\group_setup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\host_repos.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\openshift_setup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\post_setup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\projects_setup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\register_hosts.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\subscriptions_and_repos.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\uninstall.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\tasks\cloudformation.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\tasks\group_setup.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\tasks\registry_wait.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\tasks\smoke_projects.yml
2015-Middleware-Keynote,,17,16,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\2015-Middleware-Keynote\demo-ansible\playbooks\tasks\validator.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\molecule\default\roles\test_install_nextcloud\tasks\main.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\app_data.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\database.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\fetching.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\files.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\finishing.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\main.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\nc_facts.yml
aalaesar,,24,24,C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects\aalaesar\install_nextcloud\roles\backup\tasks\user_data.yml
